dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1849-01-01,26.704,1.435,Abidjan,CÌ«te D'Ivoire,5.63N,3.23W
1849-02-01,27.434,1.362,Abidjan,CÌ«te D'Ivoire,5.63N,3.23W
1849-03-01,28.101,1.612,Abidjan,CÌ«te D'Ivoire,5.63N,3.23W
1849-04-01,26.14,1.387,Abidjan,CÌ«te D'Ivoire,5.63N,3.23W
1849-05-01,25.427,1.2,Abidjan,CÌ«te D'Ivoire,5.63N,3.23W
1849-06-01,24.844,1.402,Abidjan,CÌ«te D'Ivoire,5.63N,3.23W
